Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30,21.206667,21.686666,21.000000,21.536667,20.781258,24228900
2020-07-31,21.780001,21.780001,20.896666,21.146666,20.404934,36498600
2020-08-03,21.166666,21.549999,20.926666,21.296665,20.549671,31266000
2020-08-04,21.000000,21.430000,20.693333,21.073334,20.334175,37337700
2020-08-05,21.306665,21.666666,20.870001,21.166666,20.424234,33279000
2020-08-06,21.186666,21.516666,20.976665,21.350000,20.601137,19796100
2020-08-07,21.000000,21.330000,20.593332,20.850000,20.118675,29797800
2020-08-10,20.866667,20.983334,19.883333,20.750000,20.022181,27525300
2020-08-11,21.066666,21.106667,20.186666,20.280001,19.568668,36220800
2020-08-12,20.400000,20.910000,20.133333,20.500000,19.780952,41732400
2020-08-13,20.750000,20.946667,19.983334,20.216665,19.507553,41170200
2020-08-14,20.150000,20.713333,20.106667,20.190001,19.481825,38304900
2020-08-17,20.296665,20.396666,19.043333,19.366667,18.687370,53869800
2020-08-18,19.883333,20.706667,19.733334,20.600000,19.877441,40185000
2020-08-19,20.670000,20.703333,19.770000,19.856667,19.160183,32429100
2020-08-20,19.383333,20.806665,19.293333,20.780001,20.051130,57553800
2020-08-21,20.496666,20.546665,20.040001,20.323334,19.610481,34689600
2020-08-24,20.490000,20.520000,19.660000,20.299999,19.587965,37251900
2020-08-25,20.280001,20.766666,20.206667,20.616667,19.893524,34148100
2020-08-26,20.533333,20.933332,19.773333,20.166666,19.459309,44922000
2020-08-27,20.206667,20.376665,19.833332,20.093332,19.388548,27013200
2020-08-28,20.166666,20.450001,20.033333,20.340000,19.626564,22101300
2020-08-31,20.176666,20.206667,19.543333,19.600000,18.912519,53375700
2020-09-01,19.780001,20.096666,19.753332,20.016666,19.314571,37691700
2020-09-02,20.033333,20.116667,19.666666,19.990000,19.288839,21813300
2020-09-03,20.066666,20.223333,18.766666,19.273333,18.597311,77640600
2020-09-04,19.333332,19.443333,18.700001,19.443333,18.761349,91015200
2020-09-08,19.036667,19.370001,18.803333,19.013332,18.346430,29706000
2020-09-09,19.253332,19.533333,18.876665,19.420000,18.738832,32466600
2020-09-10,19.433332,19.433332,18.616667,18.666666,18.011921,33435900
